sat,JD,RA,DEC,sigma_RA,sigma_DEC,omc_RA,omc_DEC
J1,2442281.480653248,346.85132747357454,-7.17983515359138,0.13600586014328384,0.1300680370228885,0.24100019041103535,0.05344705329579241
J2,2442281.480653248,346.8923238011202,-7.160405412735783,0.1360156476840462,0.12870470173044535,0.12073502829028392,0.16051414674322262
J3,2442281.480653248,346.8072106293095,-7.198781841733607,0.12624509149468852,0.11785196740720658,0.21654500705836344,0.24536974465926978
J4,2442281.480653248,347.02714978870944,-7.098035015303596,0.1273067829077152,0.11893721821831335,0.21358979764401598,0.053944893282254144
J1,2442281.482036342,346.8512880316328,-7.179893648316022,0.14431860754887726,0.11139272302791645,0.13584028476449614,-0.19313394330956496
J2,2442281.482036342,346.8922623162682,-7.160474930085443,0.14445983332477316,0.10981309380878697,-0.02744570082157023,-0.053748307825389544
J3,2442281.482036342,346.80708877239016,-7.1989226784061735,0.13473718995807177,0.09690807240920637,0.06704787050987711,-0.1536422636010791
J4,2442281.482036342,347.0270265452547,-7.098110938031756,0.1346704819526141,0.09679001984611679,0.20200281334779008,-0.003376926638479399
J1,2442281.4837724436,346.8512472826296,-7.179895553354642,0.1092505126846702,0.1605044048211095,0.061729595567928425,-0.19999207787366302
J2,2442281.4837724436,346.8922128112727,-7.160494565332128,0.11009477108517055,0.16011926434891782,-0.09711604513002467,-0.08843519852979798
J3,2442281.4837724436,346.8069545496006,-7.19890689117682,0.0941890386926609,0.14980390082640482,-0.05518297899707991,0.011191762523750511
J4,2442281.4837724436,347.0267968934413,-7.0982270332307005,0.09401325211136619,0.14968066005183395,-0.04682198484220334,-0.16931963118655147
J1,2442281.4858441916,346.8511937236934,-7.1798658989450725,0.1433378330746966,0.12601146961858106,-0.058135243942206025,-0.09323620328981304
J2,2442281.4858441916,346.8921768766974,-7.16049919865054,0.1432429582578519,0.12374663027141783,-0.11831389099798116,-0.06911514621489248
J3,2442281.4858441916,346.8068443475774,-7.198957946677149,0.13286958926450176,0.11213116509137841,-0.055904523061315825,0.0073919612981635805
J4,2442281.4858441916,347.0265844211365,-7.098287638964168,0.1319420242418307,0.11073210259472369,-0.12710222634491503,-0.06350027587891714
J1,2442281.4875802933,346.8511852374106,-7.179862038228055,0.11211807003310055,0.186059227012818,-0.05272859292338753,-0.11533762184352636
J2,2442281.4875802933,346.89210489160484,-7.160533861934375,0.11142783654759453,0.18582027675733132,-0.268281394377764,-0.15790298566668548
J3,2442281.4875802933,346.8067248854646,-7.19899880490149,0.10023865654893942,0.17923510838508452,-0.12541580549196904,-0.03169765017633841
J4,2442281.4875802933,347.02644008630966,-7.0983133833515755,0.1001836061912223,0.17919814634518572,-0.0711398280257845,0.09581993279890805
J1,2442281.488963388,346.8512326734454,-7.179829473156959,0.14320486536684568,0.14085719024548907,0.15241979806494613,0.001896627858762093
J2,2442281.488963388,346.8921740425946,-7.1604604092324085,0.14227993458667268,0.1397962525756689,0.05015907289733679,0.14252676256765806
J3,2442281.488963388,346.80671793958834,-7.198981485120542,0.13501826804103503,0.13218180750479544,0.13550582853178766,0.1386535604187791
J4,2442281.488963388,347.02638604168646,-7.098329765050759,0.13485962399178414,0.13199995556228888,0.2002037661828915,0.2528458051681334
